instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si2_m4Dr4_m625.01 0 52 139 81 6
si2_m4Dr4_m625.08 9 139 173 163 6
si2_m4Dr4_m625.04 83 10479 106 141 6
si4_m4Dr2_m1296.07 1 376 972 564 6
si4_m4Dr2_m1296.00 1 574 541 505 6
si4_m4Dr2_m1296.05 1 434 689 1052 6
si4_m4Dr2_m1296.04 1 343 508 552 6
si4_m4Dr2_m1296.08 4 1038 583 1096 6
si4_m4Dr2_m1296.01 2 588 487 502 6
si4_m4Dr2_m1296.06 1 383 575 636 6
si4_m4Dr2_m1296.02 1 561 1000 533 6
si4_m4Dr2_m1296.03 1 820 520 532 6
si4_m4Dr2_m1296.09 1 298 810 547 6
si2_m4Dr4_m1296.08 3 2683 753 758 6
si2_m4Dr4_m1296.07 0 351 413 755 6
si2_m4Dr4_m1296.03 2 1178 385 781 6
si2_m4Dr4_m1296.05 0 281 734 597 6
si2_m4Dr4_m1296.06 0 145 715 457 6
si2_m4Dr4_m1296.04 155 149 360 375 6
si2_m4Dr4_m1296.09 1 220 376 751 6
si2_m4Dr4_m1296.01 1 318 413 662 6
si2_m4Dr4_m1296.00 1 498 732 446 6
si2_m4Dr4_m1296.02 3 502 773 893 6
si6_m4Dr6_m1296.02 4 1414 1334 1006 6
si6_m4Dr6_m1296.08 3 879 1016 759 6
si6_m4Dr6_m1296.07 3 449 751 784 6
si6_m4Dr6_m1296.06 3 425 1200 1392 6
si6_m4Dr6_m1296.03 3 839 1458 1410 6
si6_m4Dr6_m1296.04 2 808 1400 1098 6
si6_m4Dr6_m1296.05 3 1006 1444 998 6
si6_m4Dr6_m1296.00 3 806 878 702 6
si6_m4Dr6_m1296.09 3 847 919 1026 6
si6_m4Dr6_m1296.01 3 834 1404 993 6
si4_m4Dr2_m256.00 0 18 34 34 6
si4_m4Dr2_m256.01 0 18 32 33 6
si4_m4Dr2_m256.05 0 27 32 32 6
si4_m4Dr2_m256.04 0 40 32 27 6
si4_m4Dr2_m256.08 0 23 33 33 6
si4_m4Dr2_m256.07 0 21 33 34 6
si4_m4Dr2_m256.06 0 19 32 33 6
si4_m4Dr2_m256.02 0 21 32 32 6
si4_m4Dr2_m256.09 0 19 32 32 6
si4_m4Dr2_m256.03 0 26 32 33 6
si4_m4Dr4_m625.07 0 116 107 113 6
si4_m4Dr4_m625.05 0 63 217 217 6
si4_m4Dr4_m625.01 0 178 103 107 6
si4_m4Dr4_m625.08 0 191 110 111 6
si4_m4Dr4_m625.09 1 124 218 109 6
si4_m4Dr4_m625.00 1 112 225 226 6
si4_m4Dr4_m625.04 0 125 219 221 6
si4_m4Dr4_m625.06 0 129 220 225 6
si4_m4Dr4_m625.03 0 187 220 225 6
si4_m4Dr4_m625.02 0 119 121 220 6
si4_m4Dr4_m1296.03 1 589 640 532 6
si4_m4Dr4_m1296.01 1 472 917 1088 6
si4_m4Dr4_m1296.00 1 586 654 1037 6
si4_m4Dr4_m1296.07 1 351 626 1023 6
si4_m4Dr4_m1296.02 1 542 1024 1047 6
si4_m4Dr4_m1296.04 2 744 864 530 6
si4_m4Dr4_m1296.09 1 897 519 582 6
si4_m4Dr4_m1296.06 6 7360 581 657 6
