instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
g15-g43 1000000 1000000 1000000 1000107 2
g15-g44 1000000 1000000 1000000 1000024 2
g15-g45 1000000 1000000 1000000 1000019 2
g15-g46 1000000 1000000 1000000 1000015 2
g15-g47 1000000 1000000 1000000 1000021 2
g15-g48 1000000 1000000 1000000 1000014 2
g15-g49 1000000 1000000 1000000 1000094 2
g15-g50 1000000 1000000 1000000 1000029 2
g16-g20 1000000 1000000 1000000 1000012 2
g16-g21 1411 31360 14906 16979 2
g16-g22 1000000 1000000 1000000 1000012 2
g16-g23 1000000 1000000 1000000 1000017 2
g16-g25 1000000 1000000 1000000 1000009 2
g16-g26 1000000 1000000 1000000 1000013 2
g16-g27 1000000 1000000 1000000 1000020 2
g16-g28 1000000 1000000 1000000 1000014 2
g16-g29 1000000 1000000 1000000 1000014 2
g16-g30 1000000 1000000 1000000 1000019 2
g16-g31 1000000 1000000 1000000 1000024 2
g16-g32 174 1000000 1000000 1000183 2
g16-g33 1000000 1000000 1000000 1000005 2
g16-g37 0 18 5 10 2
g16-g38 1000000 1000000 1000000 1000005 2
g16-g40 1000000 1000000 1000000 1000003 2
g16-g43 1000000 1000000 1000000 1000013 2
g16-g44 1000000 1000000 1000000 1000011 2
g16-g45 1000000 1000000 1000000 1000004 2
g16-g46 1000000 1000000 1000000 1000009 2
g16-g47 1000000 1000000 1000000 1000012 2
g16-g48 1000000 1000000 1000000 1000025 2
g16-g49 1000000 1000000 1000000 1000001 2
g16-g50 1000000 1000000 1000000 1000012 2
g17-g18 1000000 1000000 1000000 1000018 2
g17-g19 1000000 1000000 1000000 1000007 2
g17-g20 1000000 1000000 1000000 1000002 2
g17-g21 2747 38008 29339 63822 2
g17-g22 1000000 1000000 1000000 1000021 2
g17-g23 1000000 1000000 1000000 1000027 2
g17-g24 1000000 1000000 1000000 1000027 2
g17-g25 1000000 1000000 1000000 1000017 2
g17-g26 1000000 1000000 1000000 1000025 2
g17-g27 1000000 1000000 1000000 1000034 2
g17-g28 1000000 1000000 1000000 1000017 2
g17-g29 1000000 1000000 1000000 1000000 2
g17-g30 1000000 1000000 1000000 1000014 2
g17-g31 1000000 1000000 1000000 1000019 2
g17-g32 433 2894 1267 1205 2
g17-g33 1000000 1000000 1000000 1000058 2
g17-g34 1000000 1000000 1000000 1000004 2
g17-g35 1000000 1000000 1000000 1000022 2
g17-g36 1000000 1000000 1000000 1000057 2
g17-g37 1000000 1000000 1000000 1000026 2
g17-g38 1000000 1000000 1000000 1000004 2
g17-g39 1000000 1000000 1000000 1000134 2
g17-g40 1000000 1000000 1000000 1000006 2
g17-g41 1000000 1000000 1000000 1000058 2
g17-g42 1000000 1000000 1000000 1000047 2
g17-g43 1000000 1000000 1000000 1000032 2
g17-g44 1000000 1000000 1000000 1000005 2
g17-g45 1000000 1000000 1000000 1000021 2
g17-g46 1000000 1000000 1000000 1000026 2
g17-g47 1000000 1000000 1000000 1000025 2
g17-g48 1000000 1000000 1000000 1000030 2
g17-g49 1000000 1000000 1000000 1000032 2
g17-g50 1000000 1000000 1000000 1000008 2
g18-g19 1000000 1000000 1000000 1000014 2
g18-g20 1000000 1000000 1000000 1000005 2
g18-g21 4145 40724 33958 117417 2
g18-g22 1000000 1000000 1000000 1000021 2
g18-g23 1000000 1000000 1000000 1000028 2
g18-g24 1000000 1000000 1000000 1000012 2
g18-g25 1000000 1000000 1000000 1000016 2
g18-g26 1000000 1000000 1000000 1000008 2
g18-g27 1000000 1000000 1000000 1000019 2
g18-g28 1000000 1000000 1000000 1000009 2
g18-g29 1000000 1000000 1000000 1000019 2
g18-g30 1000000 1000000 1000000 1000010 2
g18-g31 1000000 1000000 1000000 1000022 2
g18-g32 552 2603 1142 1341 2
g18-g33 1000000 1000000 1000000 1000019 2
g18-g34 1000000 1000000 1000000 1000030 2
g18-g35 1000000 1000000 1000000 1000037 2
g18-g36 1000000 1000000 1000000 1000023 2
g18-g37 1000000 1000000 1000000 1000020 2
g18-g38 1000000 1000000 1000000 1000011 2
g18-g39 1000000 1000000 1000000 1000066 2
g18-g40 1000000 1000000 1000000 1000005 2
g18-g41 1000000 1000000 1000000 1000015 2
g18-g42 1000000 1000000 1000000 1000017 2
g18-g43 1000000 1000000 1000000 1000002 2
g18-g44 1000000 1000000 1000000 1000011 2
g18-g45 1000000 1000000 1000000 1000019 2
g18-g46 1000000 1000000 1000000 1000030 2
g18-g47 1000000 1000000 1000000 1000029 2
g18-g48 1000000 1000000 1000000 1000024 2
g18-g49 1000000 1000000 1000000 1000012 2
g18-g50 1000000 1000000 1000000 1000011 2
g19-g20 1000000 1000000 1000000 1000002 2
g19-g21 11030 127572 92360 272632 2
g19-g22 1000000 1000000 1000000 1000008 2
g19-g23 1000000 1000000 1000000 1000027 2
g19-g25 1000000 1000000 1000000 1000001 2
g19-g26 1000000 1000000 1000000 1000007 2
g19-g27 1000000 1000000 1000000 1000027 2
g19-g28 1000000 1000000 1000000 1000004 2
g19-g29 1000000 1000000 1000000 1000011 2
g19-g30 1000000 1000000 1000000 1000006 2
g19-g31 1000000 1000000 1000000 1000009 2
g19-g32 803 5386 2783 3445 2
g19-g33 1000000 1000000 1000000 1000013 2
g19-g35 1000000 1000000 1000000 1000015 2
g19-g37 1000000 1000000 1000000 1000002 2
g19-g38 1000000 1000000 1000000 1000001 2
g19-g40 1000000 1000000 1000000 1000008 2
g19-g41 1000000 1000000 1000000 1000026 2
g19-g42 1000000 1000000 1000000 1000022 2
g19-g43 1000000 1000000 1000000 1000013 2
g19-g44 1000000 1000000 1000000 1000008 2
g19-g45 1000000 1000000 1000000 1000004 2
g19-g46 1000000 1000000 1000000 1000004 2
g19-g47 1000000 1000000 1000000 1000010 2
g19-g48 1000000 1000000 1000000 1000015 2
g19-g49 1000000 1000000 1000000 1000014 2
g19-g50 1000000 1000000 1000000 1000014 2
g2-g10 0 0 1 1 2
g2-g11 0 0 1 0 2
g2-g12 4 15 13 7 2
g2-g13 0 3 7 7 2
g2-g14 0 3 4 4 2
g2-g15 1 4 4 9 2
g2-g16 0 0 1 1 2
g2-g17 0 0 1 1 2
g2-g18 0 0 1 1 2
g2-g19 0 0 1 1 2
g2-g20 0 0 3 3 2
g2-g21 14 57 43 59 2
g2-g22 0 0 2 2 2
g2-g23 1 7 23 8 2
g2-g24 0 1 3 3 2
g2-g25 2 43 23 47 2
g2-g26 1 9 22 11 2
g2-g27 0 0 5 4 2
g2-g28 0 0 2 1 2
g2-g29 0 0 8 4 2
g2-g3 0 11 11 10 2
g2-g30 0 0 8 4 2
g2-g31 0 0 8 8 2
g2-g32 5 18 125 137 2
g2-g33 0 0 4 4 2
g2-g34 0 0 2 4 2
g2-g35 0 0 4 2 2
g2-g36 0 0 2 2 2
g2-g37 0 0 6 6 2
g2-g38 135879 529191 544522 754899 2
g2-g39 0 0 4 4 2
g2-g4 0 1 2 2 2
g2-g40 39826 74637 76196 97476 2
g2-g41 0 0 5 5 2
g2-g42 4 0 9 6 2
g2-g43 0 0 8 7 2
g2-g44 0 0 9 5 2
g2-g45 0 0 5 5 2
g2-g46 0 0 5 10 2
g2-g47 0 0 10 10 2
g2-g48 0 0 11 6 2
g2-g49 0 1 4 8 2
g2-g5 0 0 0 0 2
g2-g50 0 0 18 10 2
g2-g6 1 4 9 4 2
g2-g7 9 43 94 93 2
g2-g8 0 0 0 0 2
g2-g9 0 23 38 9 2
g20-g21 337298 1000000 1000000 1000008 2
g20-g23 1000000 1000000 1000000 1000003 2
g20-g26 1000000 1000000 1000000 1000002 2
g20-g27 1000000 1000000 1000000 1000004 2
g20-g29 1000000 1000000 1000000 1000006 2
g20-g30 1000000 1000000 1000000 1000003 2
g20-g31 1000000 1000000 1000000 1000003 2
g20-g32 184452 1000000 1000000 1000039 2
g20-g38 1000000 1000000 1000000 1000000 2
g20-g40 1000000 1000000 1000000 1000008 2
g20-g43 1000000 1000000 1000000 1000004 2
g20-g44 1000000 1000000 1000000 1000002 2
g20-g45 1000000 1000000 1000000 1000005 2
g20-g48 1000000 1000000 1000000 1000002 2
g20-g50 1000000 1000000 1000000 1000007 2
g21-g27 1000000 1000000 1000000 1000018 2
g21-g32 1000000 1000000 1000000 1000005 2
g21-g40 1000000 1000000 1000000 1000003 2
g21-g50 1000000 1000000 1000000 1000006 2
g22-g23 1000000 1000000 1000000 1000009 2
g22-g25 1000000 1000000 1000000 1000003 2
g22-g26 1000000 1000000 1000000 1000014 2
g22-g27 1000000 1000000 1000000 1000006 2
g22-g28 1000000 1000000 1000000 1000004 2
g22-g29 1000000 1000000 1000000 1000016 2
g22-g30 1000000 1000000 1000000 1000008 2
g22-g31 1000000 1000000 1000000 1000015 2
g22-g32 119 4184 1436 855 2
g22-g33 1000000 1000000 1000000 1000004 2
g22-g37 0 42 13 13 2
g22-g38 1000000 1000000 1000000 1000004 2
g22-g40 1000000 1000000 1000000 1000001 2
g22-g43 1000000 1000000 1000000 1000019 2
g22-g44 1000000 1000000 1000000 1000010 2
g22-g45 1000000 1000000 1000000 1000002 2
g22-g46 1000000 1000000 1000000 1000018 2
g22-g47 1000000 1000000 1000000 1000025 2
g22-g48 1000000 1000000 1000000 1000019 2
g22-g49 1000000 1000000 1000000 1000016 2
g22-g50 1000000 1000000 1000000 1000003 2
g23-g27 1000000 1000000 1000000 1000022 2
g23-g32 81 1000000 1000000 2012 2
g23-g40 1000000 1000000 1000000 1000009 2
g23-g50 1000000 1000000 1000000 1000005 2
g24-g25 1000000 1000000 1000000 1000013 2
g24-g26 1000000 1000000 1000000 1000011 2
g24-g27 1000000 1000000 1000000 1000008 2
g24-g28 1000000 1000000 1000000 1000006 2
g24-g29 1000000 1000000 1000000 1000004 2
g24-g30 1000000 1000000 1000000 1000005 2
g24-g31 1000000 1000000 1000000 1000002 2
g24-g32 93 3255 798 733 2
g24-g33 1000000 1000000 1000000 1000020 2
g24-g35 1000000 1000000 1000000 1000025 2
g24-g36 1000000 1000000 1000000 1000011 2
g24-g37 1000000 1000000 1000000 1000013 2
g24-g38 1000000 1000000 1000000 1000004 2
g24-g39 1000000 1000000 1000000 1000036 2
g24-g40 1000000 1000000 1000000 1000012 2
g24-g41 1000000 1000000 1000000 1000029 2
g24-g42 1000000 1000000 1000000 1000025 2
g24-g43 1000000 1000000 1000000 1000014 2
g24-g44 1000000 1000000 1000000 1000025 2
g24-g45 1000000 1000000 1000000 1000010 2
g24-g46 1000000 1000000 1000000 1000016 2
g24-g47 1000000 1000000 1000000 1000016 2
