instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si4_r01_m400.09 688 41545 44487 48441 7
si2_r005_m600.03 314 15268 11687 5409 7
si2_r005_m600.00 3797 92519 145201 166823 7
si2_r005_m600.06 1262 58282 44758 34555 7
si2_r005_m600.01 3013 53177 116490 112019 7
si2_r005_m600.04 346 106614 12948 7934 7
si2_r005_m600.09 248 24424 12311 11419 7
si2_r005_m600.05 791 50597 85513 104299 7
si2_r005_m600.02 1330 49905 82052 61609 7
si2_r005_m600.08 2349 388229 20467 17764 7
si2_r005_m600.07 487 10274 11754 9743 7
si4_r01_m600.05 138 233989 15441 8418 7
si4_r01_m600.02 392 303965 24986 25021 7
si4_r01_m600.03 1332 460144 92296 52151 7
si4_r01_m600.07 262 561221 23755 37702 7
si4_r01_m600.08 653 609216 55283 77669 7
si4_r01_m600.06 1084 324723 116124 124019 7
si4_r01_m600.01 32 831168 3102 3720 7
si4_r01_m600.04 7 326381 735 2971 7
si4_r01_m600.00 3 710123 767 776 7
si4_r01_m600.09 732 237644 122795 110029 7
si4_r005_m400.06 3 5641 591 456 7
si4_r005_m400.03 69 5210 1755 1286 7
si4_r005_m400.07 38 8880 1682 2588 7
si4_r005_m400.01 6 4046 436 373 7
si4_r005_m400.04 45 4898 2267 1909 7
si4_r005_m400.00 12 8410 1175 946 7
si4_r005_m400.09 5 2068 437 275 7
si4_r005_m400.05 10 3693 842 311 7
si4_r005_m400.08 1 1646 243 231 7
si4_r005_m400.02 115 3026 6727 5600 7
si2_r005_m400.05 407 3035 5975 6250 7
si2_r005_m400.06 161 844 5818 4088 7
si2_r005_m400.08 180 4953 4044 2675 7
si2_r005_m400.02 424 85177 32064 33356 7
si2_r005_m400.03 82 4115 2669 2758 7
si2_r005_m400.00 314 3842 5162 4521 7
si2_r005_m400.07 321 8217 11798 11577 7
si2_r005_m400.09 31 3523 793 1486 7
si2_r005_m400.04 112 6800 1903 1360 7
si2_r005_m400.01 6 1478 362 615 7
si6_r005_m600.02 6 18564 1522 2119 7
si6_r005_m600.08 2 10791 708 451 7
si6_r005_m600.03 4 24396 724 735 7
si6_r005_m600.05 4 35314 983 1427 7
si6_r005_m600.07 9 15179 1337 717 7
si6_r005_m600.04 3 22086 705 2660 7
si6_r005_m600.06 20 33465 4610 3108 7
si6_r005_m600.01 3 4724 617 657 7
si6_r005_m600.09 2 44731 704 885 7
si6_r005_m600.00 4 9182 783 1075 7
si6_r005_m200.02 1 136 95 84 7
si6_r005_m200.08 0 367 31 29 7
si6_r005_m200.09 0 343 36 37 7
si6_r005_m200.05 3 316 100 64 7
si6_r005_m200.03 0 70 70 72 7
si6_r005_m200.00 3 852 100 51 7
si6_r005_m200.04 0 334 51 54 7
si6_r005_m200.07 0 162 31 72 7
si6_r005_m200.01 0 157 49 27 7
si6_r005_m200.06 0 129 29 58 7
si4_r001_m400.08 1478 8543 122 135 7
si4_r001_m400.06 23665 1000000 99 52 7
si4_r001_m400.02 0 5188 95 98 7
si4_r001_m400.00 8 773 104 112 7
si4_r001_m400.04 946 1000000 100 108 7
si4_r001_m400.03 51 95580 99 98 7
si4_r001_m400.09 0 13817 96 83 7
si4_r001_m400.05 907 1000000 150 139 7
si4_r001_m400.01 17 214940 97 103 7
si4_r001_m400.07 114 110913 207 189 7
si6_r001_m400.09 1 2398 62 70 7
si6_r001_m400.05 14 441 121 123 7
si6_r001_m400.00 0 838 116 121 7
si6_r001_m400.04 0 653 74 124 7
si6_r001_m400.07 0 422 119 122 7
si6_r001_m400.06 0 2354 66 62 7
si6_r001_m400.02 0 436 119 110 7
si6_r001_m400.03 0 1045 122 124 7
si6_r001_m400.08 1 239 64 68 7
si6_r001_m400.01 0 161 122 124 7
si4_r01_m200.01 65 414 2208 3293 7
si4_r01_m200.08 117 5169 3659 798 7
si4_r01_m200.03 2 1692 239 148 7
si4_r01_m200.04 0 2015 57 58 7
si4_r01_m200.07 4 2872 281 743 7
si4_r01_m200.02 47 2565 1719 867 7
si4_r01_m200.05 55 3595 1693 1897 7
si4_r01_m200.06 0 716 83 86 7
si4_r01_m200.00 34 2894 1820 2568 7
si4_r01_m200.09 19 2469 840 598 7
si2_r001_m400.06 1000000 1000000 552 470 7
si2_r001_m400.08 15056 864109 136 120 7
si2_r001_m400.09 1000000 1000000 997 1032 7
si2_r001_m400.01 2305 25636 40 80 7
si2_r001_m400.03 1827 73125 186 194 7
si2_r001_m400.04 171932 1000000 372 172 7
si2_r001_m400.05 39788 1000000 85 52 7
si2_r001_m400.02 1000000 1000000 79 89 7
si2_r001_m400.00 63 27093 94 45 7
si2_r001_m400.07 1000000 1000000 18188 23850 7
si2_r01_m200.03 23 8379 231 86 7
si2_r01_m200.00 265 1204 4352 3921 7
si2_r01_m200.05 157 533 2235 2320 7
si2_r01_m200.01 6 2432 210 51 7
si2_r01_m200.08 235 648 3772 3526 7
si2_r01_m200.06 35 8341 688 553 7
si2_r01_m200.09 864 1147 12473 12382 7
si2_r01_m200.02 353 3216 4813 4880 7
si2_r01_m200.07 198 2388 2347 3433 7
si2_r01_m200.04 105 945 1205 1116 7
si2_r01_m400.04 953 23632 31332 22117 7
si2_r01_m400.00 1579 257503 42386 36811 7
si2_r01_m400.07 229 176931 4097 3773 7
si2_r01_m400.09 10546 42985 254506 190782 7
si2_r01_m400.01 294 83798 6928 11256 7
si2_r01_m400.03 182 19461 4044 1859 7
si2_r01_m400.02 5062 11452 135566 130783 7
si2_r01_m400.05 2947 148810 71473 89316 7
si2_r01_m400.06 160 43044 3268 5641 7
si2_r01_m400.08 647 51902 19139 16537 7
si4_r001_m600.01 38 72585 245 250 7
si4_r001_m600.08 49 379894 269 183 7
si4_r001_m600.02 70 54137 206 140 7
si4_r001_m600.07 11 11984 251 185 7
si4_r001_m600.05 1 682 170 178 7
si4_r001_m600.06 51 48468 139 172 7
si4_r001_m600.00 8 185441 250 261 7
si4_r001_m600.04 16 2125 170 195 7
si4_r001_m600.09 8 16953 153 200 7
si4_r001_m600.03 259 1000000 181 192 7
