instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
all-images-CVIU11-pattern1-target47 1000001 1000001 1000005 1000174 14
all-images-CVIU11-pattern1-target48 1000000 1000000 1000002 1000358 14
all-images-CVIU11-pattern1-target49 1000000 1000000 1000003 1000293 14
all-images-CVIU11-pattern1-target5 1000001 1000001 1000005 1000214 14
all-images-CVIU11-pattern1-target50 1000000 1000001 1000006 1000167 14
all-images-CVIU11-pattern1-target51 1000000 1000000 1000002 1000270 14
all-images-CVIU11-pattern1-target52 1000000 1000000 1000002 1000264 14
all-images-CVIU11-pattern1-target53 1000000 1000000 1000002 1000319 14
all-images-CVIU11-pattern1-target54 1000000 1000000 1000002 1000350 14
all-images-CVIU11-pattern1-target55 1000000 1000000 1000001 1000307 14
all-images-CVIU11-pattern1-target56 1000000 1000000 1000001 1000320 14
all-images-CVIU11-pattern1-target57 1000001 1000003 1000008 1000161 14
all-images-CVIU11-pattern1-target58 1000000 1000000 1000001 1000346 14
all-images-CVIU11-pattern1-target59 1000001 1000000 1000005 1000273 14
all-images-CVIU11-pattern1-target6 1000001 1000001 1000004 1000204 14
all-images-CVIU11-pattern1-target60 1000000 1000000 1000002 1000323 14
all-images-CVIU11-pattern1-target61 1000001 1000000 1000004 1000256 14
all-images-CVIU11-pattern1-target62 1000001 1000000 1000005 1000250 14
all-images-CVIU11-pattern1-target63 1000000 1000000 1000004 1000263 14
all-images-CVIU11-pattern1-target64 1000000 1000000 1000003 1000253 14
all-images-CVIU11-pattern1-target65 1000000 1000000 1000002 1000285 14
all-images-CVIU11-pattern1-target66 1000000 1000000 1000002 1000335 14
all-images-CVIU11-pattern1-target67 1000000 1000001 1000005 1000245 14
all-images-CVIU11-pattern1-target68 1000001 1000001 1000006 1000195 14
all-images-CVIU11-pattern1-target69 1000001 1000003 1000007 1000186 14
all-images-CVIU11-pattern1-target7 1000000 1000001 1000004 1000247 14
all-images-CVIU11-pattern1-target70 1000001 1000001 1000005 1000242 14
all-images-CVIU11-pattern1-target71 1000000 1000001 1000004 1000293 14
all-images-CVIU11-pattern1-target72 1000001 1000000 1000004 1000279 14
all-images-CVIU11-pattern1-target73 1000000 1000001 1000005 1000215 14
all-images-CVIU11-pattern1-target74 1000001 1000001 1000006 1000237 14
all-images-CVIU11-pattern1-target75 1000001 1000001 1000006 1000218 14
all-images-CVIU11-pattern1-target76 1000001 1000002 1000007 1000189 14
all-images-CVIU11-pattern1-target77 1000001 1000003 1000007 1000188 14
all-images-CVIU11-pattern1-target78 1000000 1000002 1000007 1000196 14
all-images-CVIU11-pattern1-target79 1000000 1000000 1000001 1000353 14
all-images-CVIU11-pattern1-target8 1000000 1000000 1000003 1000295 14
all-images-CVIU11-pattern1-target80 1000000 1000000 1000002 1000341 14
all-images-CVIU11-pattern1-target81 1000000 1000000 1000002 1000278 14
all-images-CVIU11-pattern1-target82 1000001 1000000 1000003 1000295 14
all-images-CVIU11-pattern1-target83 1000001 1000000 1000004 1000245 14
all-images-CVIU11-pattern1-target84 1000000 1000000 1000000 1000346 14
all-images-CVIU11-pattern1-target85 1000001 1000002 1000005 1000210 14
all-images-CVIU11-pattern1-target86 1000000 1000000 1000003 1000250 14
all-images-CVIU11-pattern1-target87 1000000 1000000 1000003 1000331 14
all-images-CVIU11-pattern1-target88 1000001 1000000 1000004 1000300 14
all-images-CVIU11-pattern1-target89 1000000 1000000 1000002 1000381 14
all-images-CVIU11-pattern1-target9 1000000 1000000 1000003 1000338 14
all-images-CVIU11-pattern1-target90 1000000 1000000 1000001 1000342 14
all-images-CVIU11-pattern1-target91 1000000 1000000 1000000 1000442 14
all-images-CVIU11-pattern1-target92 1000001 1000002 1000007 1000177 14
all-images-CVIU11-pattern1-target93 1000000 1000000 1000003 1000292 14
all-images-CVIU11-pattern1-target94 1000000 1000001 1000004 1000225 14
all-images-CVIU11-pattern1-target95 1000000 1000000 1000001 1000379 14
all-images-CVIU11-pattern1-target96 1000000 1000000 1000002 1000380 14
all-images-CVIU11-pattern1-target97 1000000 1000000 1000002 1000382 14
all-images-CVIU11-pattern1-target98 1000000 1000000 1000001 1000335 14
all-images-CVIU11-pattern1-target99 1000000 1000000 1000003 1000287 14
all-images-CVIU11-pattern10-target1 1000000 1000000 1000003 1000081 14
all-images-CVIU11-pattern10-target10 1000000 1000000 1000002 1000167 14
all-images-CVIU11-pattern10-target100 1000000 1000000 1000001 1000097 14
all-images-CVIU11-pattern10-target101 1000000 1000000 1000001 1000192 14
all-images-CVIU11-pattern10-target102 1000000 1000000 1000001 1000129 14
all-images-CVIU11-pattern10-target103 1000000 1000000 1000002 1000173 14
all-images-CVIU11-pattern10-target104 1000000 1000000 1000003 1000053 14
all-images-CVIU11-pattern10-target105 1000000 1000000 1000003 1000080 14
all-images-CVIU11-pattern10-target106 1000000 1000000 1000001 1000056 14
all-images-CVIU11-pattern10-target107 1000000 1000000 1000002 1000159 14
all-images-CVIU11-pattern10-target108 1000000 1000000 1000005 1000036 14
all-images-CVIU11-pattern10-target109 1000001 1000000 1000003 1000084 14
all-images-CVIU11-pattern10-target11 1000000 1000000 1000001 1000115 14
all-images-CVIU11-pattern10-target110 1000000 1000000 1000002 1000148 14
all-images-CVIU11-pattern10-target111 1000000 1000000 1000001 1000144 14
all-images-CVIU11-pattern10-target112 1000000 1000000 1000001 1000183 14
all-images-CVIU11-pattern10-target113 1000000 1000000 1000002 1000025 14
all-images-CVIU11-pattern10-target114 1000000 1000000 1000001 1000126 14
all-images-CVIU11-pattern10-target115 1000000 1000000 1000001 1000173 14
all-images-CVIU11-pattern10-target116 1000000 1000000 1000006 1000037 14
all-images-CVIU11-pattern10-target117 1000000 1000000 1000003 1000053 14
all-images-CVIU11-pattern10-target118 1000000 1000000 1000002 1000036 14
all-images-CVIU11-pattern10-target119 1000000 1000000 1000005 1000055 14
all-images-CVIU11-pattern10-target12 1000000 1000000 1000003 1000108 14
all-images-CVIU11-pattern10-target120 1000000 1000001 1000001 1000023 14
all-images-CVIU11-pattern10-target121 1000000 1000000 1000004 1000056 14
all-images-CVIU11-pattern10-target122 1000000 1000000 1000002 1000074 14
all-images-CVIU11-pattern10-target123 1000000 1000000 1000002 1000018 14
all-images-CVIU11-pattern10-target124 1000000 1000000 1000003 1000066 14
all-images-CVIU11-pattern10-target125 1000000 1000000 1000004 1000076 14
all-images-CVIU11-pattern10-target126 1000000 1000000 1000000 1000174 14
all-images-CVIU11-pattern10-target127 1000000 1000000 1000001 1000148 14
all-images-CVIU11-pattern10-target128 1000000 1000000 1000004 1000048 14
all-images-CVIU11-pattern10-target129 1000000 1000000 1000001 1000151 14
all-images-CVIU11-pattern10-target13 1000000 1000000 1000003 1000083 14
all-images-CVIU11-pattern10-target130 1000000 1000000 1000001 1000164 14
all-images-CVIU11-pattern10-target131 1000000 1000000 1000002 1000124 14
all-images-CVIU11-pattern10-target132 1000000 1000000 1000001 1000099 14
all-images-CVIU11-pattern10-target133 1000000 1000000 1000002 1000157 14
all-images-CVIU11-pattern10-target134 1000000 1000000 1000002 1000139 14
all-images-CVIU11-pattern10-target135 1000000 1000000 1000002 1000156 14
all-images-CVIU11-pattern10-target136 1000000 1000000 1000002 1000052 14
all-images-CVIU11-pattern10-target137 1000000 1000000 1000001 1000193 14
all-images-CVIU11-pattern10-target138 1000000 1000000 1000005 1000032 14
all-images-CVIU11-pattern10-target139 1000000 1000000 1000001 1000168 14
all-images-CVIU11-pattern10-target14 1000000 1000000 1000001 1000110 14
all-images-CVIU11-pattern10-target140 1000000 1000000 1000001 1000205 14
all-images-CVIU11-pattern10-target141 1000000 1000000 1000001 1000151 14
all-images-CVIU11-pattern10-target142 1000000 1000000 1000002 1000199 14
all-images-CVIU11-pattern10-target143 1000000 1000000 1000001 1000121 14
all-images-CVIU11-pattern10-target144 1000000 1000000 1000003 1000030 14
all-images-CVIU11-pattern10-target145 1000000 1000000 1000001 1000110 14
all-images-CVIU11-pattern10-target146 1000000 1000000 1000004 1000065 14
