e1 e2 mcsplit mcsplit-swapped
0.028986 0.456522 7 135
0.431159 0.086957 66 9
0.003623 0.231884 202 620
0.384058 0.391304 55 114
0.231884 0.474638 168 26458
0.481884 0.384058 2 0
0.141304 0.137681 1060 816
0.018116 0.387681 33 116
0 0.322464 51 165
0.315217 0.184783 494 202
0.221014 0.449275 17 2492
0.210145 0.221014 32 63
0.094203 0.137681 393 529
0.452899 0.300725 6 0
0.311594 0.242754 14 15
0.358696 0.213768 20 11
0.427536 0.376812 3 1
0.355072 0.068841 110 54
0.155797 0.315217 36 45
0.152174 0.326087 54 221
0.076087 0.289855 61 101
0.304348 0.068841 359 115
0.362319 0.065217 122 41
0.221014 0.039855 965 348
0.297101 0.141304 766 296
0.474638 0.474638 0 0
0.492754 0.427536 100010 14
0.09058 0.365942 27 37
0.119565 0.217391 355 688
0.355072 0.126812 564 131
0.481884 0.123188 225 3
0.398551 0.025362 169 22
0.036232 0.492754 12 198
0.15942 0.445652 21 2634
0.398551 0.40942 62 115
0.072464 0.083333 710 716
0.264493 0.068841 841 263
0.126812 0.014493 649 651
0.311594 0 145 82
0.369565 0.413043 29 251
0.48913 0.014493 582 9
0.413044 0.217391 750 51
0.438406 0.032609 340 15
0.48913 0.137681 152 2
0.355072 0.195652 15 12
0.014493 0.17029 385 323
0.442029 0.152174 56 3
0.405797 0.355072 61 15
0.130435 0.195652 604 942
0.394928 0.057971 124 29
0.311594 0.48913 31603 100000
0.192029 0.286232 252 566
0.195652 0.413044 13 205
0.224638 0.394928 28 449
0.467391 0.134058 51 4
0.275362 0.210145 41 24
0.315217 0.043478 148 71
0.152174 0.23913 91 94
0.039855 0.173913 756 1530
0.289855 0.333333 13 16
0.210145 0.076087 207 160
0.068841 0.025362 920 1000
0.391304 0.297101 78 6
0.467391 0.42029 100000 6
0.061594 0.097826 1616 1812
0.065217 0.336957 105 664
0.278986 0.311594 17 28
0.083333 0.289855 80 120
0.315217 0.42029 3 4
0.17029 0.369565 14 22
0.014493 0.358696 46 94
0.119565 0.278986 254 709
0.300725 0.105072 291 61
0.481884 0.40942 1 0
0.007246 0.326087 38 101
0.282609 0.416667 3 8
0.202899 0.246377 427 646
0.481884 0.119565 49 4
0.039855 0.336957 95 332
0.043478 0.474638 7 168
0.061594 0.086957 485 715
0.177536 0 943 386
0.17029 0.061594 417 432
0.228261 0.018116 325 297
0.384058 0.137681 483 55
0.039855 0.228261 210 253
0.155797 0.126812 221 223
0.144928 0.481884 4 24
0.119565 0.061594 1774 1371
0.003623 0.373188 37 86
0.01087 0.115942 993 1701
0.394928 0.068841 262 30
0.126812 0.137681 245 323
0.485507 0.282609 11 1
0.398551 0.119565 105 14
0.108696 0.438406 13 1250
0.115942 0.311594 99 346
0.282609 0.025362 114 121
0.23913 0.373188 83 335
0.463768 0.344203 3 0
0.365942 0.032609 94 48
0.130435 0.192029 241 175
0.456522 0.282609 7 2
0.199275 0.126812 938 622
0.289855 0.166667 68 46
0.282609 0.094203 318 63
0.126812 0.072464 874 658
0.405797 0.438406 1 2
0.09058 0.173913 263 220
0.438406 0.257246 18 2
0.177536 0.173913 374 577
0.496377 0.065217 15177 673
0.018116 0.282609 106 170
0.452899 0.018116 150 6
0.181159 0.471014 34 6060
0.028986 0.057971 1048 1027
0.48913 0.264493 100001 100009
0.416667 0.072464 32 5
0.485507 0.007246 2523 31
0.344203 0.282609 505 212
0.09058 0.123188 952 1339
0.202899 0.231884 48 40
0.467391 0.427536 1 0
0.257246 0.061594 123 94
0.358696 0.311594 162 152
0.336957 0.177536 19 20
0.181159 0.286232 261 378
0.086957 0.224638 340 304
0.333333 0.101449 211 25
0.427536 0.228261 736 17
0.326087 0.496377 0 3
0.365942 0.039855 58 22
0.032609 0.210145 336 925
0.384058 0.463768 25 100000
0.282609 0.123188 406 128
0.485507 0.373188 100007 67
0.253623 0.438406 42 5443
0.09058 0.282609 233 706
0.347826 0.195652 18 19
0.23913 0.264493 789 1173
0.047101 0.32971 111 350
0.474638 0.445652 100006 75311
0.025362 0.358696 35 182
0.48913 0.391304 100002 2599
0.028986 0.224638 231 275
0.112319 0.224638 464 1030
0.413044 0.192029 500 20
0.173913 0.221014 74 75
0.152174 0.471015 19 3891
0.452899 0.032609 236 6
0.050725 0.253623 172 319
0.083333 0.01087 1693 1322
0.057971 0.307971 69 355
0.5 0.40942 100001 100005
0.347826 0.01087 153 43
0.021739 0.17029 414 256
0.373188 0.376812 30 37
0.221014 0.431159 12 512
0.460145 0.333333 4 0
0.336957 0.246377 393 89
0.286232 0.253623 249 126
0.047101 0.380435 13 44
0.304348 0.445652 32 47896
0.224638 0.322464 468 377
0.181159 0.173913 1097 624
