instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static instance pattern_n pattern_d target_n target_d
F.17 2 1 1 1 1 3 268 16 984 616 1730 1 1 F.17 270 0.149057 300 0.144504
C.04 37312 38621 37952 38249 7 307422 286 119 13 299 48 7 107 C.04 900 0.00611791 1000 0.0061021
B.19 4 4 7 4 3 22 142 44 1 91 3 3 4 B.19 540 0.0101903 600 0.0100779
C.16 287 306 488 301 8 2657 298 118 4 451 6 8 108 C.16 900 0.00608825 1000 0.00603604
C.17 185 216 188 192 5 1805 298 118 0 337 5 5 105 C.17 900 0.00599926 1000 0.00598398
E.08 0 0 0 0 0 1 159 13 1000000 0 0 0 0 E.08 270 0.137546 300 0.142564
F.13 1 1 2 1 1 3 583 17 1000000 1000000 10588 1 1 F.13 270 0.144596 300 0.148116
A.20 0 0 0 0 0 1 9 7 0 9 0 0 0 A.20 180 0.0301055 200 0.03
E.02 0 0 0 0 0 1 83 6 47674 0 0 0 0 E.02 270 0.140094 300 0.146734
E.16 0 0 0 0 0 1 103 5 111977 0 0 0 0 E.16 270 0.145573 300 0.151683
B.12 26 26 63941 46 4 159 84 40 1 86 4 4 26 B.12 540 0.00999107 600 0.0100167
F.09 1 1 1 1 1 2 604 29 9 42 542 1 1 F.09 270 0.151866 300 0.15068
A.10 0 0 4 0 0 1 16 4 0 10 0 0 0 A.10 180 0.0306021 200 0.0307538
F.18 2 1 1 1 1 2 505 28 15 64 1593 1 1 F.18 270 0.164202 300 0.159376
E.10 1 1 1 1 1 2 416 20 35 41 180 1 1 E.10 270 0.152141 300 0.145329
A.06 0 0 72 0 0 1 17 4 0 6 0 0 0 A.06 180 0.0299814 200 0.0303518
E.15 0 0 0 0 0 1 339 9 1000000 0 0 0 0 E.15 270 0.151549 300 0.148428
E.07 0 0 0 0 0 1 33 5 6685 0 0 0 0 E.07 270 0.148341 300 0.146332
E.11 0 0 0 0 0 1 82 5 2600 0 0 0 0 E.11 270 0.133347 300 0.136589
B.03 2 1 26595 2 2 8 85 39 1 91 2 2 1 B.03 540 0.0101079 600 0.0101113
B.18 2 1 1 1 2 7 82 39 0 117 1 2 1 B.18 540 0.0100667 600 0.0100223
C.03 12 7 7 7 5 76 237 193 1 282 6 5 7 C.03 900 0.00603139 1000 0.00598799
A.18 0 0 0 0 0 1 16 4 0 6 0 0 0 A.18 180 0.0306021 200 0.0305528
F.15 2 1 1 1 1 3 232 15 1 67 4 1 1 F.15 270 0.142971 300 0.138774
A.19 0 0 0 0 0 1 17 4 0 11 0 0 0 A.19 180 0.029671 200 0.03
C.12 159 217 174 263 10 1499 231 121 14 255 21 10 110 C.12 900 0.00601903 1000 0.005996
B.05 9 9 5 5 2 28 137 40 6 157 31 2 9 B.05 540 0.0101422 600 0.0100445
A.13 0 0 0 0 0 1 9 7 0 15 0 0 0 A.13 180 0.0300435 200 0.0298995
A.05 0 0 0 0 0 1 15 4 0 8 0 0 0 A.05 180 0.030478 200 0.0303518
F.01 1 1 1 1 1 2 384 15 9 75 6 1 1 F.01 270 0.142751 300 0.13777
E.20 0 0 0 0 0 1 95 5 90435 0 0 0 0 E.20 270 0.152375 300 0.147068
B.13 7 4 4 4 2 23 79 43 0 147 6 2 4 B.13 540 0.0100392 600 0.00999444
A.14 1 1 4 0 0 2 17 4 0 9 1 0 1 A.14 180 0.0308504 200 0.031005
B.04 6 9 2401 9 2 30 142 66 1 146 4 2 9 B.04 540 0.00994984 600 0.00998331
C.13 8 5 1000000 6 5 27 250 119 1 290 3 5 5 C.13 900 0.00609072 1000 0.00609409
F.07 1 1 1 1 1 2 270 25 30 76 20 1 1 F.07 270 0.144761 300 0.142185
E.13 0 0 0 0 0 1 61 5 1000000 0 0 0 0 E.13 270 0.159879 300 0.158395
E.14 0 0 0 0 0 1 374 21 1000000 1 0 0 0 E.14 270 0.137698 300 0.145463
