instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static instance pattern_n pattern_d target_n target_d
g45-g76 1 0 0 0 0 1 167 13 1740 1 1 0 0 g45-g76 128 0.109437 610 0.190934
g45-g77 4 0 0 0 0 2 341 13 12592 2 3 0 0 g45-g77 128 0.109437 610 0.444491
g45-g78 0 0 0 0 0 2 1 0 0 0 0 0 0 g45-g78 128 0.109437 627 0.0180636
g45-g79 0 0 0 0 0 4 1 0 0 0 0 0 0 g45-g79 128 0.109437 763 0.00654276
g45-g80 0 0 0 0 0 6 1 0 0 0 0 0 0 g45-g80 128 0.109437 891 0.000802028
g45-g81 0 0 0 0 0 7 1 1 0 1 0 0 0 g45-g81 128 0.109437 1010 0.0117634
g45-g83 0 0 0 0 0 7 1 1 0 0 0 0 0 g45-g83 128 0.109437 1024 0.00977517
g45-g84 1 0 0 0 0 5 239 13 1933 2 2 0 0 g45-g84 128 0.109437 1024 0.117302
g45-g85 0 0 0 0 0 7 2 1 0 0 0 0 0 g45-g85 128 0.109437 1050 0.00285805
g45-g87 0 0 0 0 0 5 2 0 0 0 0 0 0 g45-g87 128 0.109437 1057 0.00638062
g45-g88 0 0 0 0 0 7 2 0 0 1 0 0 0 g45-g88 128 0.109437 1057 0.0072174
g45-g89 0 0 0 0 0 7 2 1 0 0 0 0 0 g45-g89 128 0.109437 1092 0.00366636
g45-g90 0 0 0 0 0 15 2 1 0 1 0 0 0 g45-g90 128 0.109437 1430 0.00489853
g45-g91 0 0 0 0 0 15 2 1 0 1 0 0 0 g45-g91 128 0.109437 1446 0.0030266
g45-g92 0 0 0 0 0 14 3 1 0 1 0 0 0 g45-g92 128 0.109437 1619 0.0026852
g45-g94 0 0 0 0 0 18 4 1 0 0 0 0 0 g45-g94 128 0.109437 1860 0.00323333
g45-g95 0 0 0 0 0 21 3 1 0 0 0 0 0 g45-g95 128 0.109437 2000 0.000698349
g45-g96 0 0 0 0 0 22 3 1 0 0 0 0 0 g45-g96 128 0.109437 2000 0.000828914
g45-g97 0 0 0 0 0 31 4 1 0 0 0 0 0 g45-g97 128 0.109437 2000 0.000842921
g45-g98 0 0 0 0 0 23 4 1 0 1 0 0 0 g45-g98 128 0.109437 2000 0.00128714
g45-g99 0 0 0 0 0 23 3 1 0 1 0 0 0 g45-g99 128 0.109437 2000 0.00128814
g46-g100 0 0 0 0 0 34 3 1 0 0 1 0 0 g46-g100 128 0.115404 2016 0.000984678
g46-g101 0 0 0 0 0 42 4 1 0 0 0 0 0 g46-g101 128 0.115404 2184 0.00274851
g46-g102 0 0 0 0 0 39 6 2 0 0 0 0 0 g46-g102 128 0.115404 2184 0.00366468
g46-g103 0 0 0 0 0 29 4 2 0 0 0 0 0 g46-g103 128 0.115404 2184 0.00549702
g46-g104 0 0 0 0 0 80 7 2 0 0 2 0 0 g46-g104 128 0.115404 3300 0.00121175
g46-g105 0 0 0 0 0 73 7 2 0 0 2 0 0 g46-g105 128 0.115404 3317 0.00120318
g46-g106 1 0 0 0 0 134 13 4 0 1 0 0 0 g46-g106 128 0.115404 4493 0.00134958
g46-g107 1 0 0 0 0 148 13 3 0 0 3 0 0 g46-g107 128 0.115404 4494 0.000971892
g46-g108 0 0 0 0 1 156 14 3 0 0 3 1 0 g46-g108 128 0.115404 4866 0.000915808
g46-g109 0 0 0 0 0 162 15 5 0 0 0 0 0 g46-g109 128 0.115404 5040 0.00119071
g46-g110 3 1 1 1 2 216 685 82 7 160 1 2 1 g46-g110 128 0.115404 5448 0.00243334
g46-g111 1 1 1 0 0 224 21 7 0 0 3 0 1 g46-g111 128 0.115404 5757 0.000853117
g46-g112 1 0 0 1 1 309 548 7 0 38 1 1 0 g46-g112 128 0.115404 6671 0.000632243
g46-g51 0 0 0 0 0 0 0 0 2 3 0 0 0 g46-g51 128 0.115404 138 0.0521528
g46-g52 0 0 0 0 0 0 0 0 0 0 0 0 0 g46-g52 128 0.115404 161 0.0276398
g46-g53 0 0 0 0 0 0 0 0 0 0 0 0 0 g46-g53 128 0.115404 168 0.0595951
g46-g54 0 0 0 0 0 0 1 0 0 0 0 0 0 g46-g54 128 0.115404 256 0.0288297
g46-g55 0 0 0 0 0 0 0 0 0 0 0 0 0 g46-g55 128 0.115404 256 0.029473
g46-g56 0 0 0 0 0 0 0 0 0 0 0 0 0 g46-g56 128 0.115404 256 0.0306373
g46-g57 0 0 0 0 0 0 0 0 0 0 0 0 0 g46-g57 128 0.115404 280 0.0015617
g46-g61 0 0 0 0 0 1 1 0 0 0 0 0 0 g46-g61 128 0.115404 331 0.0170283
g46-g62 0 0 0 0 0 1 0 0 0 0 0 0 0 g46-g62 128 0.115404 377 0.013573
g46-g63 0 0 0 0 0 1 9 7 1 39 0 0 0 g46-g63 128 0.115404 400 0.0358396
g46-g64 1066 951 4557 939 3526 723 14413 11833 1000000 1000000 921856 1051 3626 g46-g64 128 0.115404 400 0.124812
g46-g65 0 0 0 0 0 1 1 0 0 0 0 0 0 g46-g65 128 0.115404 435 0.0266963
g46-g67 0 0 0 0 0 2 1 0 0 0 0 0 0 g46-g67 128 0.115404 462 0.0130152
g46-g68 4 5 3 5 188 4 1744 2951 3088 2482 6048 105 5 g46-g68 128 0.115404 462 0.0650759
g46-g69 0 0 0 0 0 2 1 0 0 0 0 0 0 g46-g69 128 0.115404 500 0.0118557
g46-g70 0 0 0 0 0 2 1 0 0 0 0 0 0 g46-g70 128 0.115404 501 0.00603593
g46-g71 0 0 0 0 0 2 1 0 0 0 0 0 0 g46-g71 128 0.115404 501 0.0119521
g46-g72 0 0 0 0 0 2 1 0 0 0 0 0 0 g46-g72 128 0.115404 561 0.000935829
g46-g74 0 0 0 0 0 2 0 0 0 0 0 0 0 g46-g74 128 0.115404 585 0.00718885
g46-g75 7 4 6 4 4 7 133 71 93 128 205 4 4 g46-g75 128 0.115404 610 0.0400441
g46-g76 51 79 6700 65 46 45 233 266 2607 2224 2470 46 79 g46-g76 128 0.115404 610 0.190934
g46-g77 286 255 2453 239 179 94 445 985 17899 14947 360 355 279 g46-g77 128 0.115404 610 0.444491
g46-g78 0 0 0 0 0 3 0 0 0 0 0 0 0 g46-g78 128 0.115404 627 0.0180636
g46-g79 0 0 0 0 0 5 1 0 0 0 0 0 0 g46-g79 128 0.115404 763 0.00654276
g46-g80 0 0 0 0 0 7 0 0 0 0 0 0 0 g46-g80 128 0.115404 891 0.000802028
g46-g81 0 0 0 0 0 6 1 1 0 0 0 0 0 g46-g81 128 0.115404 1010 0.0117634
g46-g83 0 0 0 0 0 5 1 1 0 0 0 0 0 g46-g83 128 0.115404 1024 0.00977517
g46-g84 75 92 7792 66 65 86 407 494 2897 2421 134 65 92 g46-g84 128 0.115404 1024 0.117302
g46-g85 0 0 0 0 0 9 1 1 0 0 0 0 0 g46-g85 128 0.115404 1050 0.00285805
g46-g87 0 0 0 0 0 9 2 1 0 0 1 0 0 g46-g87 128 0.115404 1057 0.00638062
g46-g88 0 0 0 0 0 6 1 1 0 0 1 0 0 g46-g88 128 0.115404 1057 0.0072174
g46-g89 0 0 0 0 0 9 1 1 0 0 0 0 0 g46-g89 128 0.115404 1092 0.00366636
g46-g90 0 0 0 0 0 12 3 1 0 0 0 0 0 g46-g90 128 0.115404 1430 0.00489853
g46-g91 0 0 0 0 0 11 3 1 0 3 0 0 0 g46-g91 128 0.115404 1446 0.0030266
g46-g92 0 0 0 0 0 24 2 1 0 7 0 0 0 g46-g92 128 0.115404 1619 0.0026852
g46-g94 0 0 0 0 0 31 4 1 0 0 0 0 0 g46-g94 128 0.115404 1860 0.00323333
g46-g95 0 0 0 0 0 25 3 1 0 0 1 0 0 g46-g95 128 0.115404 2000 0.000698349
g46-g96 0 0 0 0 0 37 3 1 0 0 1 0 0 g46-g96 128 0.115404 2000 0.000828914
g46-g97 0 0 0 0 0 37 5 1 0 0 1 0 0 g46-g97 128 0.115404 2000 0.000842921
g46-g98 0 0 0 0 0 32 5 1 0 0 1 0 0 g46-g98 128 0.115404 2000 0.00128714
g46-g99 0 0 0 0 0 25 5 1 0 0 1 0 0 g46-g99 128 0.115404 2000 0.00128814
g47-g100 0 0 0 0 0 28 5 1 0 0 0 0 0 g47-g100 128 0.115342 2016 0.000984678
g47-g101 0 0 0 0 0 27 6 1 0 0 0 0 0 g47-g101 128 0.115342 2184 0.00274851
g47-g102 0 0 0 0 0 35 6 1 0 0 0 0 0 g47-g102 128 0.115342 2184 0.00366468
g47-g103 0 0 0 0 0 33 4 2 0 0 0 0 0 g47-g103 128 0.115342 2184 0.00549702
g47-g104 0 0 0 0 0 66 11 2 0 0 0 0 0 g47-g104 128 0.115342 3300 0.00121175
g47-g105 0 0 0 0 0 65 11 2 0 0 0 0 0 g47-g105 128 0.115342 3317 0.00120318
g47-g106 1 0 0 0 0 120 13 3 0 1 1 0 0 g47-g106 128 0.115342 4493 0.00134958
g47-g107 1 0 0 0 0 118 18 3 0 0 0 0 0 g47-g107 128 0.115342 4494 0.000971892
g47-g108 0 0 0 0 0 138 14 3 0 0 0 0 0 g47-g108 128 0.115342 4866 0.000915808
g47-g109 0 0 0 0 0 133 22 3 0 0 0 0 0 g47-g109 128 0.115342 5040 0.00119071
g47-g110 1 0 0 0 0 194 577 27 6 5 2 0 0 g47-g110 128 0.115342 5448 0.00243334
g47-g111 1 0 0 0 0 197 21 8 0 1 1 0 0 g47-g111 128 0.115342 5757 0.000853117
g47-g112 1 0 0 0 0 263 527 7 0 1 0 0 0 g47-g112 128 0.115342 6671 0.000632243
g47-g51 0 0 0 0 0 0 0 0 1 0 0 0 0 g47-g51 128 0.115342 138 0.0521528
g47-g52 0 0 0 0 0 0 0 0 0 0 0 0 0 g47-g52 128 0.115342 161 0.0276398
g47-g53 0 0 0 0 0 0 0 0 0 0 0 0 0 g47-g53 128 0.115342 168 0.0595951
g47-g54 0 0 0 0 0 0 0 0 0 0 0 0 0 g47-g54 128 0.115342 256 0.0288297
g47-g55 0 0 0 0 0 0 0 0 0 0 0 0 0 g47-g55 128 0.115342 256 0.029473
g47-g56 0 0 0 0 0 0 0 0 0 0 0 0 0 g47-g56 128 0.115342 256 0.0306373
g47-g57 0 0 0 0 0 0 0 0 0 0 0 0 0 g47-g57 128 0.115342 280 0.0015617
g47-g61 0 0 0 0 0 1 1 0 0 0 0 0 0 g47-g61 128 0.115342 331 0.0170283
g47-g62 0 0 0 0 0 1 1 0 0 0 0 0 0 g47-g62 128 0.115342 377 0.013573
g47-g63 0 0 0 0 0 1 6 2 1 0 0 0 0 g47-g63 128 0.115342 400 0.0358396
g47-g64 0 0 0 0 0 1 109 8 1000000 0 0 0 0 g47-g64 128 0.115342 400 0.124812
g47-g65 0 0 0 0 0 1 1 0 0 0 0 0 0 g47-g65 128 0.115342 435 0.0266963
g47-g67 0 0 0 0 0 1 0 0 0 0 0 0 0 g47-g67 128 0.115342 462 0.0130152
g47-g68 0 0 0 0 0 1 104 4 3069 0 0 0 0 g47-g68 128 0.115342 462 0.0650759
g47-g69 0 0 0 0 0 1 1 0 0 0 0 0 0 g47-g69 128 0.115342 500 0.0118557
g47-g70 0 0 0 0 0 1 0 0 0 0 0 0 0 g47-g70 128 0.115342 501 0.00603593
g47-g71 0 0 0 0 0 1 1 0 0 0 0 0 0 g47-g71 128 0.115342 501 0.0119521
g47-g72 0 0 0 0 0 1 1 0 0 0 0 0 0 g47-g72 128 0.115342 561 0.000935829
g47-g74 0 0 0 0 0 1 1 0 0 0 0 0 0 g47-g74 128 0.115342 585 0.00718885
g47-g75 0 0 0 0 0 2 80 4 95 0 0 0 0 g47-g75 128 0.115342 610 0.0400441
g47-g76 1 0 0 0 0 1 152 9 2676 1 1 0 0 g47-g76 128 0.115342 610 0.190934
g47-g77 3 0 0 0 0 1 347 14 17424 2 3 0 0 g47-g77 128 0.115342 610 0.444491
g47-g78 0 0 0 0 0 1 1 0 0 0 0 0 0 g47-g78 128 0.115342 627 0.0180636
g47-g79 0 0 0 0 0 4 1 0 0 0 0 0 0 g47-g79 128 0.115342 763 0.00654276
g47-g80 0 0 0 0 0 3 1 0 0 0 0 0 0 g47-g80 128 0.115342 891 0.000802028
g47-g81 0 0 0 0 0 4 1 0 0 0 0 0 0 g47-g81 128 0.115342 1010 0.0117634
g47-g83 0 0 0 0 0 5 1 0 0 0 0 0 0 g47-g83 128 0.115342 1024 0.00977517
g47-g84 0 0 0 0 0 5 261 14 2920 2 2 0 0 g47-g84 128 0.115342 1024 0.117302
g47-g85 0 0 0 0 0 7 2 1 0 0 0 0 0 g47-g85 128 0.115342 1050 0.00285805
g47-g87 0 0 0 0 0 5 1 0 0 0 0 0 0 g47-g87 128 0.115342 1057 0.00638062
g47-g88 0 0 0 0 0 5 2 0 0 0 0 0 0 g47-g88 128 0.115342 1057 0.0072174
g47-g89 0 0 0 0 0 5 2 0 0 0 0 0 0 g47-g89 128 0.115342 1092 0.00366636
g47-g90 0 0 0 0 0 14 3 1 0 0 0 0 0 g47-g90 128 0.115342 1430 0.00489853
g47-g91 0 0 0 0 0 15 3 1 0 0 0 0 0 g47-g91 128 0.115342 1446 0.0030266
g47-g92 0 0 0 0 0 13 4 1 0 0 0 0 0 g47-g92 128 0.115342 1619 0.0026852
g47-g94 0 0 0 0 0 18 4 1 0 0 0 0 0 g47-g94 128 0.115342 1860 0.00323333
g47-g95 0 0 0 0 0 22 4 1 0 0 0 0 0 g47-g95 128 0.115342 2000 0.000698349
g47-g96 0 0 0 0 0 21 3 1 0 0 0 0 0 g47-g96 128 0.115342 2000 0.000828914
g47-g97 0 0 0 0 0 30 5 1 0 0 0 0 0 g47-g97 128 0.115342 2000 0.000842921
g47-g98 0 0 0 0 0 24 5 1 0 0 0 0 0 g47-g98 128 0.115342 2000 0.00128714
g47-g99 0 0 0 0 0 23 5 1 0 0 0 0 0 g47-g99 128 0.115342 2000 0.00128814
g48-g100 0 0 0 0 0 34 4 1 0 0 1 0 0 g48-g100 128 0.123031 2016 0.000984678
g48-g101 0 0 0 0 0 29 4 1 0 0 0 0 0 g48-g101 128 0.123031 2184 0.00274851
g48-g102 0 0 0 0 0 29 5 1 0 0 0 0 0 g48-g102 128 0.123031 2184 0.00366468
g48-g103 0 0 0 0 0 29 4 2 0 0 0 0 0 g48-g103 128 0.123031 2184 0.00549702
g48-g104 0 0 0 0 0 75 7 3 0 0 2 0 0 g48-g104 128 0.123031 3300 0.00121175
g48-g105 0 0 0 0 0 74 10 2 0 0 2 0 0 g48-g105 128 0.123031 3317 0.00120318
g48-g106 1 0 0 0 0 151 18 3 0 1 0 0 0 g48-g106 128 0.123031 4493 0.00134958
g48-g107 1 0 0 0 0 147 13 3 0 0 3 0 0 g48-g107 128 0.123031 4494 0.000971892
g48-g108 1 0 0 0 0 157 14 3 0 0 3 0 0 g48-g108 128 0.123031 4866 0.000915808
g48-g109 0 0 0 0 0 155 21 3 0 0 0 0 0 g48-g109 128 0.123031 5040 0.00119071
g48-g110 2 1 1 1 2 210 607 62 4 153 2 2 1 g48-g110 128 0.123031 5448 0.00243334
g48-g111 1 0 1 0 1 220 27 4 0 1 4 1 0 g48-g111 128 0.123031 5757 0.000853117
g48-g112 1 0 0 1 1 306 510 6 0 33 1 1 0 g48-g112 128 0.123031 6671 0.000632243
g48-g51 0 0 0 0 0 0 0 0 14 12 0 0 0 g48-g51 128 0.123031 138 0.0521528
g48-g52 0 0 0 0 0 0 0 0 0 0 0 0 0 g48-g52 128 0.123031 161 0.0276398
g48-g53 0 0 0 0 0 0 0 0 0 0 0 0 0 g48-g53 128 0.123031 168 0.0595951
g48-g54 0 0 0 0 0 0 0 0 0 0 0 0 0 g48-g54 128 0.123031 256 0.0288297
g48-g55 0 0 0 0 0 0 0 0 0 0 0 0 0 g48-g55 128 0.123031 256 0.029473
g48-g56 0 0 0 0 0 0 0 0 0 0 0 0 0 g48-g56 128 0.123031 256 0.0306373
g48-g57 0 0 0 0 0 0 0 0 0 0 0 0 0 g48-g57 128 0.123031 280 0.0015617
g48-g61 0 0 0 0 0 0 1 0 0 0 0 0 0 g48-g61 128 0.123031 331 0.0170283
g48-g62 0 0 0 0 0 1 1 0 0 0 0 0 0 g48-g62 128 0.123031 377 0.013573
g48-g63 0 0 0 0 0 1 1 0 0 0 0 0 0 g48-g63 128 0.123031 400 0.0358396
g48-g64 1062 930 4090 919 1512 728 13632 10907 1000000 1000000 263332 1030 1612 g48-g64 128 0.123031 400 0.124812
g48-g65 0 0 0 0 0 1 1 0 0 0 0 0 0 g48-g65 128 0.123031 435 0.0266963
g48-g67 0 0 0 0 0 1 0 0 0 0 0 0 0 g48-g67 128 0.123031 462 0.0130152
g48-g68 6 3 5 3 135 6 1558 3025 1644 1408 17050 103 3 g48-g68 128 0.123031 462 0.0650759
g48-g69 0 0 0 0 0 1 1 0 0 0 0 0 0 g48-g69 128 0.123031 500 0.0118557
g48-g70 0 0 0 0 0 2 0 0 0 0 0 0 0 g48-g70 128 0.123031 501 0.00603593
g48-g71 0 0 0 0 0 1 0 0 0 0 0 0 0 g48-g71 128 0.123031 501 0.0119521
g48-g72 0 0 0 0 0 1 1 0 0 0 0 0 0 g48-g72 128 0.123031 561 0.000935829
g48-g74 0 0 0 0 0 3 0 0 0 0 0 0 0 g48-g74 128 0.123031 585 0.00718885
g48-g75 4 6 4 4 4 5 93 41 86 86 230 4 6 g48-g75 128 0.123031 610 0.0400441
g48-g76 52 77 6666 76 47 46 247 223 2670 2269 2444 47 77 g48-g76 128 0.123031 610 0.190934
g48-g77 262 261 2436 273 209 144 454 989 17415 14543 359 361 309 g48-g77 128 0.123031 610 0.444491
g48-g78 0 0 0 0 0 3 1 0 0 0 0 0 0 g48-g78 128 0.123031 627 0.0180636
g48-g79 0 0 0 0 0 3 1 0 0 0 0 0 0 g48-g79 128 0.123031 763 0.00654276
g48-g80 0 0 0 0 0 4 1 0 0 0 0 0 0 g48-g80 128 0.123031 891 0.000802028
g48-g81 0 0 0 0 0 8 1 1 0 0 0 0 0 g48-g81 128 0.123031 1010 0.0117634
g48-g83 0 0 0 0 0 6 1 0 0 0 0 0 0 g48-g83 128 0.123031 1024 0.00977517
g48-g84 99 109 83 66 89 62 437 439 2948 2413 139 89 189 g48-g84 128 0.123031 1024 0.117302
g48-g85 0 0 0 0 0 9 2 1 0 0 0 0 0 g48-g85 128 0.123031 1050 0.00285805
g48-g87 0 0 0 0 0 6 2 1 0 0 1 0 0 g48-g87 128 0.123031 1057 0.00638062
g48-g88 0 0 0 0 0 6 2 1 0 0 1 0 0 g48-g88 128 0.123031 1057 0.0072174
g48-g89 0 0 0 0 0 10 1 1 0 0 0 0 0 g48-g89 128 0.123031 1092 0.00366636
g48-g90 0 0 0 0 0 17 3 1 0 0 0 0 0 g48-g90 128 0.123031 1430 0.00489853
g48-g91 0 0 0 0 0 15 3 1 0 6 0 0 0 g48-g91 128 0.123031 1446 0.0030266
g48-g92 0 0 0 0 0 17 3 1 0 4 0 0 0 g48-g92 128 0.123031 1619 0.0026852
g48-g94 0 0 0 0 0 21 3 1 0 0 0 0 0 g48-g94 128 0.123031 1860 0.00323333
g48-g95 0 0 0 0 0 37 4 1 0 0 1 0 0 g48-g95 128 0.123031 2000 0.000698349
g48-g96 0 0 0 0 0 36 3 1 0 0 1 0 0 g48-g96 128 0.123031 2000 0.000828914
g48-g97 0 0 0 0 0 26 5 1 0 0 1 0 0 g48-g97 128 0.123031 2000 0.000842921
g48-g98 0 0 0 0 0 26 5 1 0 0 1 0 0 g48-g98 128 0.123031 2000 0.00128714
g48-g99 0 0 0 0 0 25 4 1 0 0 1 0 0 g48-g99 128 0.123031 2000 0.00128814
g49-g100 0 0 0 0 0 33 3 1 0 0 1 0 0 g49-g100 128 0.126353 2016 0.000984678
g49-g101 0 0 0 0 0 39 4 1 0 0 0 0 0 g49-g101 128 0.126353 2184 0.00274851
g49-g102 0 0 0 0 0 29 6 1 0 0 0 0 0 g49-g102 128 0.126353 2184 0.00366468
g49-g103 0 0 0 0 0 38 6 2 0 0 0 0 0 g49-g103 128 0.126353 2184 0.00549702
g49-g104 0 0 0 0 0 75 7 2 0 1 2 0 0 g49-g104 128 0.126353 3300 0.00121175
g49-g105 0 0 0 0 0 74 10 3 0 1 2 0 0 g49-g105 128 0.126353 3317 0.00120318
g49-g106 1 0 0 0 0 148 218 4 115 125 0 0 0 g49-g106 128 0.126353 4493 0.00134958
g49-g107 0 0 0 0 0 145 13 4 0 14 14 0 0 g49-g107 128 0.126353 4494 0.000971892
g49-g108 0 0 0 0 0 155 14 5 0 17 22 0 0 g49-g108 128 0.126353 4866 0.000915808
g49-g109 0 0 0 0 0 157 15 3 0 0 0 0 0 g49-g109 128 0.126353 5040 0.00119071
g49-g110 5 3 5 3 5 250 563 69 7 202 4 5 3 g49-g110 128 0.126353 5448 0.00243334
g49-g111 1 1 1 1 1 217 334 8 115 165 13009 1 1 g49-g111 128 0.126353 5757 0.000853117
g49-g112 1 0 1 0 1 303 509 9 0 21 1 1 0 g49-g112 128 0.126353 6671 0.000632243
g49-g51 0 0 0 0 0 0 0 0 151 94 0 0 0 g49-g51 128 0.126353 138 0.0521528
g49-g52 0 0 0 0 0 0 0 0 0 0 0 0 0 g49-g52 128 0.126353 161 0.0276398
g49-g53 0 0 0 0 0 0 0 0 0 0 0 0 0 g49-g53 128 0.126353 168 0.0595951
g49-g54 0 0 0 0 0 0 1 0 0 0 0 0 0 g49-g54 128 0.126353 256 0.0288297
g49-g55 0 0 0 0 0 0 1 0 0 0 0 0 0 g49-g55 128 0.126353 256 0.029473
g49-g56 0 0 0 0 0 0 0 0 0 3 0 0 0 g49-g56 128 0.126353 256 0.0306373
g49-g57 0 0 0 0 0 0 0 0 0 0 0 0 0 g49-g57 128 0.126353 280 0.0015617
g49-g61 0 0 0 0 0 1 1 0 0 0 0 0 0 g49-g61 128 0.126353 331 0.0170283
g49-g62 0 0 0 0 0 1 0 0 0 0 0 0 0 g49-g62 128 0.126353 377 0.013573
g49-g63 0 0 0 0 0 1 6 4 29 42 0 0 0 g49-g63 128 0.126353 400 0.0358396
g49-g64 1084 996 996 973 795 542 11634 9916 1000000 922285 855682 1096 895 g49-g64 128 0.126353 400 0.124812
g49-g65 0 0 0 0 0 1 1 0 0 0 0 0 0 g49-g65 128 0.126353 435 0.0266963
g49-g67 0 0 0 0 0 2 1 0 0 0 0 0 0 g49-g67 128 0.126353 462 0.0130152
g49-g68 6 5 3 5 3 4 206 131 11238 9214 7 3 5 g49-g68 128 0.126353 462 0.0650759
g49-g69 0 0 0 0 0 1 1 0 0 0 0 0 0 g49-g69 128 0.126353 500 0.0118557
g49-g70 0 0 0 0 0 1 1 0 0 0 0 0 0 g49-g70 128 0.126353 501 0.00603593
g49-g71 0 0 0 0 0 2 0 0 0 0 0 0 0 g49-g71 128 0.126353 501 0.0119521
g49-g72 0 0 0 0 0 2 1 0 0 0 0 0 0 g49-g72 128 0.126353 561 0.000935829
g49-g74 0 0 0 0 0 2 1 0 0 6 0 0 0 g49-g74 128 0.126353 585 0.00718885
g49-g75 5 4 7 4 6 5 70 68 102 111 211 6 4 g49-g75 128 0.126353 610 0.0400441
g49-g76 81 48 46 48 81 46 193 255 1889 1546 2413 81 48 g49-g76 128 0.126353 610 0.190934
g49-g77 957 878 803 891 198 344 395 3081 12103 9939 360 978 298 g49-g77 128 0.126353 610 0.444491
g49-g78 0 0 0 0 0 2 1 1 0 0 0 0 0 g49-g78 128 0.126353 627 0.0180636
g49-g79 0 0 0 0 0 5 1 0 0 0 0 0 0 g49-g79 128 0.126353 763 0.00654276
g49-g80 0 0 0 0 0 7 1 0 0 0 0 0 0 g49-g80 128 0.126353 891 0.000802028
g49-g81 0 0 0 0 0 6 1 0 0 0 0 0 0 g49-g81 128 0.126353 1010 0.0117634
g49-g83 0 0 0 0 0 8 1 0 0 0 0 0 0 g49-g83 128 0.126353 1024 0.00977517
g49-g84 117 65 89 103 90 61 335 413 1933 1612 134 90 65 g49-g84 128 0.126353 1024 0.117302
g49-g85 0 0 0 0 0 9 2 0 0 0 0 0 0 g49-g85 128 0.126353 1050 0.00285805
g49-g87 0 0 0 0 0 6 2 1 0 0 1 0 0 g49-g87 128 0.126353 1057 0.00638062
g49-g88 0 0 0 0 0 9 1 0 0 0 1 0 0 g49-g88 128 0.126353 1057 0.0072174
g49-g89 0 0 0 0 0 6 2 1 0 0 0 0 0 g49-g89 128 0.126353 1092 0.00366636
g49-g90 0 0 0 0 0 18 3 1 0 0 0 0 0 g49-g90 128 0.126353 1430 0.00489853
g49-g91 0 0 0 0 0 12 3 1 0 3 0 0 0 g49-g91 128 0.126353 1446 0.0030266
g49-g92 0 0 0 0 0 24 2 1 0 7 0 0 0 g49-g92 128 0.126353 1619 0.0026852
g49-g94 0 0 0 0 0 23 4 1 0 0 0 0 0 g49-g94 128 0.126353 1860 0.00323333
g49-g95 0 0 0 0 0 37 4 1 0 0 1 0 0 g49-g95 128 0.126353 2000 0.000698349
g49-g96 0 0 0 0 0 27 3 1 0 0 1 0 0 g49-g96 128 0.126353 2000 0.000828914
g49-g97 0 0 0 0 0 36 5 1 0 0 1 0 0 g49-g97 128 0.126353 2000 0.000842921
g49-g98 0 0 0 0 0 28 3 1 0 0 1 0 0 g49-g98 128 0.126353 2000 0.00128714
g49-g99 0 0 0 0 0 25 4 1 0 0 1 0 0 g49-g99 128 0.126353 2000 0.00128814
g5-g100 0 0 0 0 0 24 4 0 0 0 0 0 0 g5-g100 11 0.363636 2016 0.000984678
g5-g101 0 0 0 0 0 28 5 1 0 0 0 0 0 g5-g101 11 0.363636 2184 0.00274851
g5-g102 0 0 0 0 0 42 5 1 0 0 0 0 0 g5-g102 11 0.363636 2184 0.00366468
g5-g103 4 5 3 3 3 45 49 45 26 12 5 3 5 g5-g103 11 0.363636 2184 0.00549702
g5-g104 3 2 3 2 2 78 123 44 23 30 2579 2 2 g5-g104 11 0.363636 3300 0.00121175
g5-g105 2 2 3 2 2 111 124 61 23 22 2608 2 2 g5-g105 11 0.363636 3317 0.00120318
g5-g106 8 8 8 11 12 155 319 162 88 76 157 12 8 g5-g106 11 0.363636 4493 0.00134958
g5-g107 6 4 6 4 4 143 257 87 44 40 6755 4 4 g5-g107 11 0.363636 4494 0.000971892
g5-g108 5 5 5 7 7 172 347 109 52 47 8788 7 5 g5-g108 11 0.363636 4866 0.000915808
g5-g109 0 0 0 0 0 160 15 4 0 0 0 0 0 g5-g109 11 0.363636 5040 0.00119071
g5-g110 11 15 9 9 9 298 543 152 64 58 31 9 15 g5-g110 11 0.363636 5448 0.00243334
g5-g111 13 8 12 8 8 246 466 207 87 77 16640 8 8 g5-g111 11 0.363636 5757 0.000853117
g5-g112 2 2 3 2 3 344 585 110 18 20 12 3 2 g5-g112 11 0.363636 6671 0.000632243
g5-g51 0 0 0 0 0 0 2 0 24 20 2 0 0 g5-g51 11 0.363636 138 0.0521528
g5-g52 0 0 0 0 0 0 1 0 0 0 1 0 0 g5-g52 11 0.363636 161 0.0276398
g5-g53 0 0 1 0 1 1 4 4 8 9 18 1 0 g5-g53 11 0.363636 168 0.0595951
g5-g54 0 0 0 0 0 0 3 0 1 1 17 0 0 g5-g54 11 0.363636 256 0.0288297
g5-g55 0 0 0 0 0 0 2 1 0 0 0 0 0 g5-g55 11 0.363636 256 0.029473
g5-g56 0 0 0 0 0 0 3 0 0 1 12 0 0 g5-g56 11 0.363636 256 0.0306373
g5-g57 0 0 0 0 0 0 0 0 0 0 0 0 0 g5-g57 11 0.363636 280 0.0015617
